feature,agop_diagonal,abs_agop_diagonal
ancurl__bin_ad,0.0026400695,0.0026400695
url__advertising,0.002629088,0.002629088
origurl__cybermog,0.0026064913,0.0026064913
origurl__simonc_cybermog,0.0026064913,0.0026064913
origurl__simonc,0.0026064913,0.0026064913
origurl__www_innotts_co_uk,0.0026064913,0.0026064913
origurl__cybermog_htm,0.0026064913,0.0026064913
origurl__innotts_co_uk,0.0026064913,0.0026064913
origurl__corridor_5139,0.0026060406,0.0026060406
alt__kat,0.0025350517,0.0025350517
ancurl__ad_doubleclick_net,0.0025199926,0.0025199926
ancurl__doubleclick_net,0.0025199926,0.0025199926
alt__and,0.0025160923,0.0025160923
ancurl__home_netscape_com,0.002503279,0.002503279
origurl__index_htm,0.002440223,0.002440223
url__spacedesc,0.002332144,0.002332144
url__ng_spacedesc,0.002332144,0.002332144
url__button,0.002252415,0.002252415
url__blipverts,0.0022405381,0.0022405381
url__advertising_blipverts,0.0022405381,0.0022405381
url__wired_com,0.0022405381,0.0022405381
url__static_wired_com,0.0022405381,0.0022405381
url__image_ng,0.002208681,0.002208681
url__ad_doubleclick_net,0.0021855568,0.0021855568
url__doubleclick_net,0.0021855568,0.0021855568
ancurl__jump,0.0021854667,0.0021854667
origurl__corridor,0.0021810317,0.0021810317
origurl__area51_corridor,0.0021810317,0.0021810317
url__gifs,0.0021606667,0.0021606667
ancurl__netscape_com,0.0021530602,0.0021530602
alt__on,0.0021466415,0.0021466415
origurl__nav,0.002099198,0.002099198
alt__more,0.0020689822,0.0020689822
origurl__index_html,0.0020436498,0.0020436498
ancurl__ng_spacedesc,0.0020301212,0.0020301212
url__any,0.0020301212,0.0020301212
url__ad_preferences_com,0.0020301212,0.0020301212
url__runofsite_any,0.0020301212,0.0020301212
ancurl__runofsite_any,0.0020301212,0.0020301212
url__preferences_com,0.0020301212,0.0020301212
ancurl__any,0.0020301212,0.0020301212
ancurl__runofsite,0.0020301212,0.0020301212
url__runofsite,0.0020301212,0.0020301212
ancurl__spacedesc,0.0020301212,0.0020301212
origurl__news,0.0020273693,0.0020273693
origurl__aol_com,0.0019802817,0.0019802817
origurl__members_aol_com,0.0019771317,0.0019771317
url__ng,0.001912526,0.001912526
origurl__paris,0.0018201303,0.0018201303
origurl__leonora,0.0018201303,0.0018201303
origurl__paris_3963,0.0018201303,0.0018201303
origurl__3963_leonora,0.0018201303,0.0018201303
origurl__leonora_html,0.0018201303,0.0018201303
url__sponsor,0.0017996811,0.0017996811
alt__your,0.0017761914,0.0017761914
origurl__excite_com,0.0017502113,0.0017502113
url__img,0.0017377588,0.0017377588
url__any_time,0.0017333304,0.0017333304
url__time,0.0017333304,0.0017333304
url__time_1998,0.0017333304,0.0017333304
url__pics,0.0016907593,0.0016907593
url__heartland_valley,0.0016735754,0.0016735754
url__valley,0.0016735754,0.0016735754
ancurl__webring,0.001643433,0.001643433
ancurl__comprod,0.0016277534,0.0016277534
ancurl__mirror,0.0016277534,0.0016277534
ancurl__comprod_mirror,0.0016277534,0.0016277534
origurl__cats,0.0016002277,0.0016002277
ancurl__exec,0.0015916796,0.0015916796
caption__and,0.001554449,0.001554449
ancurl__asp,0.0015204786,0.0015204786
origurl__00_html,0.001512482,0.001512482
ancurl__526_redirect,0.0014724884,0.0014724884
origurl__messier,0.0014605967,0.0014605967
origurl__messier_html,0.0014605967,0.0014605967
url__valley_2647,0.001446135,0.001446135
ancurl__cfm,0.0014290985,0.0014290985
origurl__heartland,0.0013744815,0.0013744815
ancurl__family,0.0012689355,0.0012689355
alt__geocities,0.0012476014,0.0012476014
origurl__www_antiwar_com,0.0011974233,0.0011974233
url__www_antiwar_com,0.0011974233,0.0011974233
url__antiwar_com,0.0011974233,0.0011974233
origurl__antiwar_com,0.0011974233,0.0011974233
url__hollywood,0.0011890935,0.0011890935
caption__here_for,0.0011784587,0.0011784587
alt__top,0.0011666165,0.0011666165
origurl__wired_com,0.001133557,0.001133557
url__aol_com,0.0011300182,0.0011300182
url__members_aol_com,0.0011276437,0.0011276437
origurl__story,0.0010284407,0.0010284407
origurl__general,0.0010252637,0.0010252637
origurl__crawler_general,0.0010252637,0.0010252637
origurl__method,0.0010252637,0.0010252637
origurl__timeout,0.0010252637,0.0010252637
origurl__20_timeout,0.0010252637,0.0010252637
origurl__rpp,0.0010252637,0.0010252637
origurl__rpp_20,0.0010252637,0.0010252637
origurl__0_rpp,0.0010252637,0.0010252637
origurl__crawler,0.0010252637,0.0010252637
origurl__timeout_5,0.0010252637,0.0010252637
alt__banner,0.0010193664,0.0010193664
origurl__turbo,0.00097351853,0.00097351853
origurl__3727_turbo,0.00097351853,0.00097351853
origurl__turbo_html,0.00097351853,0.00097351853
origurl__meadows_3727,0.00097351853,0.00097351853
url__home,0.0009650227,0.0009650227
ancurl__dll,0.0009505765,0.0009505765
ancurl__ring,0.0009326311,0.0009326311
caption__for,0.0009290092,0.0009290092
ancurl__next,0.0009052264,0.0009052264
ancurl__bin_webring,0.00089962594,0.00089962594
ancurl__webring_org,0.00089962594,0.00089962594
alt__visit_the,0.00089327944,0.00089327944
origurl__hpe_10,0.00089101325,0.00089101325
origurl__hpe,0.00089101325,0.00089101325
origurl__5_hpe,0.00089101325,0.00089101325
origurl__ï¿½ion_0,0.00089101325,0.00089101325
origurl__target_ï¿½ion,0.00089101325,0.00089101325
origurl__target,0.00089101325,0.00089101325
origurl__ï¿½ion,0.00089101325,0.00089101325
ancurl__any_time,0.00089082395,0.00089082395
ancurl__time_1998,0.00089082395,0.00089082395
ancurl__time,0.00089082395,0.00089082395
ancurl__excite,0.00089082395,0.00089082395
ancurl__click_ng,0.00089082395,0.00089082395
ancurl__www_webring_org,0.0008815299,0.0008815299
ancurl__webring_ring,0.0008793879,0.0008793879
origurl__index,0.00085707934,0.00085707934
ancurl__download,0.0008439494,0.0008439494
origurl__labyrinth_9439,0.00083922443,0.00083922443
origurl__area51_labyrinth,0.00083922443,0.00083922443
origurl__labyrinth,0.00083922443,0.00083922443
alt__microsoft,0.0008319247,0.0008319247
url__grouper_com,0.0008020721,0.0008020721
origurl__grouper_com,0.0008020721,0.0008020721
origurl__www_grouper_com,0.0008020721,0.0008020721
url__www_grouper_com,0.0008020721,0.0008020721
url__francois,0.0008020721,0.0008020721
origurl__francois,0.0008020721,0.0008020721
alt__guestbook,0.00079530117,0.00079530117
alt__of,0.0007397289,0.0007397289
ancurl__2fcrawler,0.00073710247,0.00073710247
ancurl__3a,0.00073710247,0.00073710247
ancurl__3a_2fcrawler,0.00073710247,0.00073710247
ancurl__mc_3a,0.00073710247,0.00073710247
origurl__area51,0.00073414866,0.00073414866
url__cnet,0.0007326115,0.0007326115
alt__to_visit,0.0007282418,0.0007282418
ancurl__exec_obidos,0.00072596315,0.00072596315
ancurl__obidos,0.00072596315,0.00072596315
origurl__times,0.00070224685,0.00070224685
ancurl__adcount_plx,0.00070224685,0.00070224685
ancurl__irish_times_com,0.00070224685,0.00070224685
url__times,0.00070224685,0.00070224685
ancurl__www_irish_times_com,0.00070224685,0.00070224685
ancurl__plx_http,0.00070224685,0.00070224685
origurl__irish_times,0.00070224685,0.00070224685
ancurl__bin_adcount,0.00070224685,0.00070224685
ancurl__adcount,0.00070224685,0.00070224685
url__irish_times,0.00070224685,0.00070224685
url__www_irish_times_com,0.00070224685,0.00070224685
url__times_graphics,0.00070224685,0.00070224685
origurl__www_irish_times_com,0.00070224685,0.00070224685
url__irish_times_com,0.00070224685,0.00070224685
origurl__irish,0.00070224685,0.00070224685
origurl__irish_times_com,0.00070224685,0.00070224685
url__ad_icons,0.00070224685,0.00070224685
url__graphics_ad,0.00070224685,0.00070224685
url__irish,0.00070224685,0.00070224685
alt__amazon_com,0.0006906633,0.0006906633
alt__amazon,0.0006906075,0.0006906075
ancurl__plx,0.00067828904,0.00067828904
url__sanjosesabercats_com,0.00066195,0.00066195
origurl__sanjosesabercats_com,0.00066195,0.00066195
url__www_sanjosesabercats_com,0.00066195,0.00066195
origurl__www_sanjosesabercats_com,0.00066195,0.00066195
origurl__www_vrn_de,0.00065571547,0.00065571547
alt__net,0.00065571547,0.00065571547
origurl__vrn_de,0.00065571547,0.00065571547
url__vrn_de,0.00065571547,0.00065571547
url__www_vrn_de,0.00065571547,0.00065571547
alt__like,0.0006510431,0.0006510431
origurl__www_larx_com,0.0006487853,0.0006487853
url__www_larx_com,0.0006487853,0.0006487853
origurl__larx_com,0.0006487853,0.0006487853
url__larx_com,0.0006487853,0.0006487853
alt__visit,0.0006313749,0.0006313749
ancurl__site_ne,0.0006175222,0.0006175222
origurl__news_com,0.0006175222,0.0006175222
ancurl__news_com,0.0006175222,0.0006175222
ancurl__ne,0.0006175222,0.0006175222
url__www_news_com,0.0006175222,0.0006175222
origurl__www_news_com,0.0006175222,0.0006175222
url__news_com,0.0006175222,0.0006175222
ancurl__www_news_com,0.0006175222,0.0006175222
origurl__kushmerick,0.0006131212,0.0006131212
ancurl__info,0.00060433644,0.00060433644
origurl__heartland_meadows,0.00060175115,0.00060175115
origurl__meadows,0.00060175115,0.00060175115
origurl__theinternetadvantage_com,0.0006016406,0.0006016406
origurl__baons,0.0006016406,0.0006016406
origurl__www_theinternetadvantage_com,0.0006016406,0.0006016406
url__baons_images,0.0006016406,0.0006016406
url__baons,0.0006016406,0.0006016406
url__theinternetadvantage_com,0.0006016406,0.0006016406
url__www_theinternetadvantage_com,0.0006016406,0.0006016406
ancurl__www_Lpage_com,0.00058054784,0.00058054784
ancurl__Lpage_com,0.00058054784,0.00058054784
ancurl__theinternetadvantage_com,0.00058044266,0.00058044266
ancurl__www_theinternetadvantage_com,0.00058044266,0.00058044266
ancurl__excite_com,0.0005690302,0.0005690302
ancurl__ie,0.0005672833,0.0005672833
origurl__square,0.00056206936,0.00056206936
ancurl__cats,0.0005598183,0.0005598183
url__athens,0.0005492261,0.0005492261
origurl__mindspring_com,0.00054562907,0.00054562907
origurl__msheryl,0.0005276811,0.0005276811
origurl__djang_html,0.0005276811,0.0005276811
origurl__www_interchg_ubc_ca,0.0005276811,0.0005276811
origurl__msheryl_djang,0.0005276811,0.0005276811
origurl__djang,0.0005276811,0.0005276811
origurl__ubc_ca,0.0005276811,0.0005276811
ancurl__relocate,0.00047828586,0.00047828586
alt__the,0.0004775812,0.0004775812
ancurl__preferences,0.00047704493,0.00047704493
ancurl__preferences_com,0.00047704493,0.00047704493
ancurl__redir,0.00047515417,0.00047515417
alt__next,0.0004749662,0.0004749662
alt__of_the,0.0004742318,0.0004742318
ancurl__marketplace,0.0004734626,0.0004734626
caption__the,0.0004526304,0.0004526304
alt__for_a,0.00045033693,0.00045033693
alt__here_to,0.00044128587,0.00044128587
ancurl__members,0.00041594706,0.00041594706
origurl__heartland_6712,0.00041284243,0.00041284243
origurl__cats_html,0.00041284243,0.00041284243
origurl__6712_cats,0.00041284243,0.00041284243
origurl__soho,0.00040935058,0.00040935058
origurl__lofts_7119,0.00040935058,0.00040935058
origurl__soho_lofts,0.00040935058,0.00040935058
origurl__lofts,0.00040935058,0.00040935058
ancurl__products,0.000371513,0.000371513
ancurl__heartland_plains,0.00036636455,0.00036636455
ancurl__plains,0.00036636455,0.00036636455
ancurl__grouper_com,0.00036580602,0.00036580602
ancurl__francois,0.00036580602,0.00036580602
ancurl__www_grouper_com,0.00036580602,0.00036580602
origurl__square_chapel,0.000344134,0.000344134
origurl__chapel,0.000344134,0.000344134
origurl__wv_square,0.000344134,0.000344134
origurl__worldvillage_com,0.000344134,0.000344134
origurl__wv,0.000344134,0.000344134
origurl__safehaven_index,0.000344134,0.000344134
origurl__chapel_safehaven,0.000344134,0.000344134
origurl__www_worldvillage_com,0.000344134,0.000344134
origurl__safehaven,0.000344134,0.000344134
alt__bytes,0.00033766168,0.00033766168
origurl__home,0.0003376261,0.0003376261
origurl__express_scripts_com,0.0003277651,0.0003277651
url__express_scripts_com,0.0003277651,0.0003277651
url__esi,0.0003277651,0.0003277651
url__www_express_scripts_com,0.0003277651,0.0003277651
origurl__www_express_scripts_com,0.0003277651,0.0003277651
origurl__valley_2647,0.0003199581,0.0003199581
origurl__valley,0.00031311667,0.00031311667
origurl__heartland_valley,0.00031311667,0.00031311667
ancurl__co,0.00031256958,0.00031256958
url__excite_com,0.00030263845,0.00030263845
url__banner,0.00030190096,0.00030190096
ancurl__2fclick,0.00029787616,0.00029787616
ancurl__2fclick_ng,0.00029787616,0.00029787616
aratio,0.00029035975,0.00029035975
alt__link,0.00028374692,0.00028374692
alt__in,0.00027579954,0.00027579954
origurl__www_haestad_com,0.00027447607,0.00027447607
url__haestad_com,0.00027447607,0.00027447607
url__www_haestad_com,0.00027447607,0.00027447607
origurl__haestad_com,0.00027447607,0.00027447607
origurl__general_kushmerick,0.00026900435,0.00026900435
origurl__kushmerick_method,0.00026900435,0.00026900435
origurl__method_0,0.00026900435,0.00026900435
alt__by,0.00026463516,0.00026463516
origurl__lovisa1,0.0002643948,0.0002643948
origurl__kattsida_html,0.0002643948,0.0002643948
origurl__lovisa1_kattsida,0.0002643948,0.0002643948
origurl__passagen_se,0.0002643948,0.0002643948
origurl__hem1_passagen_se,0.0002643948,0.0002643948
origurl__kattsida,0.0002643948,0.0002643948
url__www_icsi_com,0.00025531364,0.00025531364
origurl__icsi_com,0.00025531364,0.00025531364
origurl__ikenobo,0.00025531364,0.00025531364
origurl__ics,0.00025531364,0.00025531364
origurl__ics_ikenobo,0.00025531364,0.00025531364
url__ics,0.00025531364,0.00025531364
url__icsi_com,0.00025531364,0.00025531364
origurl__www_icsi_com,0.00025531364,0.00025531364
url__sjsu_edu,0.00025217546,0.00025217546
url__www_cob_sjsu_edu,0.00025217546,0.00025217546
origurl__www_cob_sjsu_edu,0.00025217546,0.00025217546
origurl__sjsu_edu,0.00025217546,0.00025217546
alt__news,0.00024905615,0.00024905615
ancurl__sunsite_unc_edu,0.00023549395,0.00023549395
ancurl__unc_edu,0.00023549395,0.00023549395
ancurl__dumble,0.00020353183,0.00020353183
ancurl__ukonline_co_uk,0.00020353183,0.00020353183
ancurl__members_keith,0.00020353183,0.00020353183
ancurl__keith_dumble,0.00020353183,0.00020353183
ancurl__keith,0.00020353183,0.00020353183
ancurl__web_ukonline_co_uk,0.00020353183,0.00020353183
ancurl__members_accessus_net,0.000201532,0.000201532
ancurl__accessus_net,0.000201532,0.000201532
ancurl__dejay,0.000201532,0.000201532
origurl__accessus_net,0.00020137533,0.00020137533
origurl__dejay,0.00020137533,0.00020137533
origurl__members_accessus_net,0.00020137533,0.00020137533
url__members_accessus_net,0.00020137533,0.00020137533
url__accessus_net,0.00020137533,0.00020137533
url__dejay,0.00020137533,0.00020137533
origurl__heartland_5309,0.00019772523,0.00019772523
url__heartland_5309,0.00019772523,0.00019772523
origurl__5309_index,0.00019772523,0.00019772523
ancurl__personal,0.0001947034,0.0001947034
alt__home,0.00018923673,0.00018923673
ancurl__soho,0.00018804347,0.00018804347
alt__with,0.00018587497,0.00018587497
url__hem1_passagen_se,0.00018305882,0.00018305882
url__lovisa1,0.00018305882,0.00018305882
url__passagen_se,0.00018305612,0.00018305612
ancurl__schwab,0.00017941832,0.00017941832
ancurl__468x60,0.00017300344,0.00017300344
ancurl__468x60_runofsite,0.00017300344,0.00017300344
url__468x60,0.00017300344,0.00017300344
origurl__cybercats,0.00017129398,0.00017129398
origurl__xoom_com,0.00017129398,0.00017129398
origurl__members_xoom_com,0.00017129398,0.00017129398
ancurl__yahoo,0.00016790997,0.00016790997
url__personal,0.00016696451,0.00016696451
origurl__personal,0.00016691415,0.00016691415
origurl__www_news_observer_com,0.00016664082,0.00016664082
origurl__news_observer_com,0.00016664082,0.00016664082
ancurl__news_observer_com,0.00016664082,0.00016664082
ancurl__www_news_observer_com,0.00016664082,0.00016664082
caption__to,0.00016610633,0.00016610633
url__pix,0.00016374468,0.00016374468
origurl__kaitlin_htm,0.00016296217,0.00016296217
origurl__kaitlin,0.00016296217,0.00016296217
origurl__2647_kaitlin,0.00016296217,0.00016296217
alt__cat,0.00015373429,0.00015373429
url__www_wednet_com,0.00015356063,0.00015356063
origurl__www_wednet_com,0.00015356063,0.00015356063
url__wednet_com,0.00015356063,0.00015356063
origurl__wednet_com,0.00015356063,0.00015356063
origurl__bossintl_com,0.00015274242,0.00015274242
ancurl__www_bossintl_com,0.00015274242,0.00015274242
url__www_bossintl_com,0.00015274242,0.00015274242
url__bossintl_com,0.00015274242,0.00015274242
ancurl__bossintl_com,0.00015274242,0.00015274242
origurl__www_bossintl_com,0.00015274242,0.00015274242
ancurl__name,0.00015272113,0.00015272113
url__news_observer_com,0.00015189279,0.00015189279
url__www_news_observer_com,0.00015189279,0.00015189279
caption__you,0.00015087874,0.00015087874
url__uk,0.00014610114,0.00014610114
ancurl__net,0.00014129982,0.00014129982
url__cat,0.00013734173,0.00013734173
url__www_yahoo_co_uk,0.00013726485,0.00013726485
origurl__www_yahoo_co_uk,0.00013726485,0.00013726485
ancurl__www_yahoo_co_uk,0.00013726485,0.00013726485
ancurl__ukie,0.00013726485,0.00013726485
url__adv_images,0.00013726485,0.00013726485
origurl__yahoo_co_uk,0.00013726485,0.00013726485
ancurl__1_d,0.00013726485,0.00013726485
ancurl__d_ukie,0.00013726485,0.00013726485
url__adv,0.00013726485,0.00013726485
ancurl__yahoo_co_uk,0.00013726485,0.00013726485
url__yahoo_co_uk,0.00013726485,0.00013726485
ancurl__ukie_s,0.00013726485,0.00013726485
url__inwap_com,0.00013630216,0.00013630216
url__www_inwap_com,0.00013630216,0.00013630216
origurl__inwap,0.00013630216,0.00013630216
ancurl__inwap_com,0.00013630216,0.00013630216
ancurl__inwap_cats,0.00013630216,0.00013630216
origurl__www_inwap_com,0.00013630216,0.00013630216
ancurl__inwap,0.00013630216,0.00013630216
ancurl__www_inwap_com,0.00013630216,0.00013630216
origurl__inwap_com,0.00013630216,0.00013630216
origurl__inwap_cats,0.00013630216,0.00013630216
url__cats,0.00013629436,0.00013629436
ancurl__shtml,0.0001358109,0.0001358109
ancurl__url_http,0.0001355212,0.0001355212
ancurl__valley,0.00013408579,0.00013408579
ancurl__heartland_valley,0.00013408579,0.00013408579
ancurl__valley_2647,0.00013366653,0.00013366653
origurl__search,0.0001324455,0.0001324455
url__assets_images,0.00013238203,0.00013238203
ancurl__www_pacific_net_sg,0.00013079491,0.00013079491
ancurl__pacific_net_sg,0.00013077087,0.00013077087
url__www_pacific_net_sg,0.00013024092,0.00013024092
origurl__www_pacific_net_sg,0.00013024092,0.00013024092
origurl__pacific_net_sg,0.0001302114,0.0001302114
url__pacific_net_sg,0.0001302114,0.0001302114
url__uk_gif,0.00012594085,0.00012594085
origurl__adamspharmacy_com,0.00012356203,0.00012356203
url__adamspharmacy_com,0.00012356203,0.00012356203
url__www_adamspharmacy_com,0.00012356203,0.00012356203
origurl__www_adamspharmacy_com,0.00012356203,0.00012356203
url__thumb,0.00012180334,0.00012180334
url__art,0.000121685094,0.000121685094
ancurl__link,0.00012160026,0.00012160026
url__small,0.000120503224,0.000120503224
ancurl__cid,0.00012025751,0.00012025751
alt__take,0.000120035365,0.000120035365
alt__ring,0.00011764016,0.00011764016
ancurl__n_a,0.000117295574,0.000117295574
alt__pages,0.00011672542,0.00011672542
origurl__timstory,0.000115228795,0.000115228795
origurl__5257_timstory,0.000115228795,0.000115228795
origurl__timstory_html,0.000115228795,0.000115228795
origurl__plains_5257,0.00011515702,0.00011515702
