feature,agop_diagonal,abs_agop_diagonal
ancurl__bin,1.0,1.0
ancurl__com,0.6477885,0.6477885
ancurl__redirect,0.39431694,0.39431694
url__images,0.25393644,0.25393644
ancurl__http_www,0.21201031,0.21201031
ancurl__url,0.14596392,0.14596392
ancurl__sv,0.13471685,0.13471685
ancurl__home,0.12580103,0.12580103
ancurl__index,0.11988582,0.11988582
alt__click,0.10542562,0.10542562
origurl__hollywood_9662,0.09405219,0.09405219
alt__here,0.057037253,0.057037253
alt__click_here,0.05702187,0.05702187
local,0.05673668,0.05673668
origurl__hollywood,0.043552056,0.043552056
ancurl__click,0.038738437,0.038738437
origurl__geocities_com,0.037791193,0.037791193
origurl__www_geocities_com,0.037791193,0.037791193
alt__ad,0.037165534,0.037165534
alt__free,0.03544084,0.03544084
url__bin,0.035125945,0.035125945
url__ads,0.033410877,0.033410877
ancurl__redirect_cgi,0.02862864,0.02862864
alt__download,0.027886678,0.027886678
url__geocities_com,0.025786236,0.025786236
url__www_geocities_com,0.025786236,0.025786236
height,0.021828903,0.021828903
ancurl__www_geocities_com,0.021603514,0.021603514
ancurl__geocities_com,0.021561198,0.021561198
alt__for,0.020993907,0.020993907
origurl__football,0.020614961,0.020614961
ancurl__ad,0.020446286,0.020446286
width,0.017847948,0.017847948
ancurl__adclick,0.01505111,0.01505111
alt__now,0.014758004,0.014758004
ancurl__dir,0.0144467475,0.0144467475
ancurl__ng,0.014290898,0.014290898
ancurl__page,0.014258585,0.014258585
ancurl__exe,0.013877372,0.013877372
alt__at,0.013443771,0.013443771
ancurl__adid,0.012632945,0.012632945
alt__here_for,0.012587055,0.012587055
url__graphics,0.012392689,0.012392689
alt__join,0.01188231,0.01188231
origurl__main,0.011525084,0.011525084
url__assets,0.010897303,0.010897303
alt__about,0.010740145,0.010740145
origurl__yosemite,0.010583943,0.010583943
origurl__misfits2,0.010583916,0.010583916
origurl__4301_misfits2,0.010583916,0.010583916
origurl__yosemite_4301,0.010583916,0.010583916
origurl__misfits2_htm,0.010583916,0.010583916
alt__information,0.009614251,0.009614251
ancurl__type,0.009586444,0.009586444
url__image,0.009434017,0.009434017
origurl__bin,0.009407769,0.009407769
origurl__mcp_htm,0.008556954,0.008556954
origurl__7735_mcp,0.008556954,0.008556954
origurl__hollywood_7735,0.008556954,0.008556954
origurl__mcp,0.008556954,0.008556954
ancurl__click_profileid,0.008171194,0.008171194
alt__web,0.008118117,0.008118117
ancurl__event,0.0080806315,0.0080806315
ancurl__profileid,0.008050035,0.008050035
ancurl__type_click,0.008050035,0.008050035
ancurl__2f,0.008050035,0.008050035
ancurl__http_2f,0.008050035,0.008050035
ancurl__runid,0.008050035,0.008050035
ancurl__ng_type,0.008050035,0.008050035
ancurl__redirect_http,0.008050035,0.008050035
ancurl__event_ng,0.008050035,0.008050035
ancurl__groupid_1,0.007323255,0.007323255
ancurl__1_familyid,0.007323255,0.007323255
ancurl__index_html,0.0070590805,0.0070590805
origurl__netscape_com,0.007057676,0.007057676
origurl__home_netscape_com,0.007057676,0.007057676
ancurl__cnet,0.007025049,0.007025049
ancurl__clickthru,0.0069887,0.0069887
ancurl__edition,0.006981323,0.006981323
ancurl__acc_clickthru,0.006981323,0.006981323
ancurl__clickid,0.006981323,0.006981323
ancurl__acc,0.006981323,0.006981323
url__media_images,0.006981323,0.006981323
url__ads_media,0.006981323,0.006981323
ancurl__site,0.0067191017,0.0067191017
ancurl__main,0.0066939527,0.0066939527
ancurl__cnet_cat,0.006654193,0.006654193
ancurl__bin_acc,0.006654193,0.006654193
ancurl__edition_cnet,0.006654193,0.006654193
ancurl__clickthru_clickid,0.006654193,0.006654193
origurl__netcenter,0.006652768,0.006652768
ancurl__familyid,0.0065642176,0.0065642176
ancurl__tagvalues,0.0065642176,0.0065642176
ancurl__groupid,0.0065642176,0.0065642176
url__marketplace,0.0064037987,0.0064037987
origurl__st,0.005916467,0.005916467
url__banners,0.0057695555,0.0057695555
alt__com,0.005646369,0.005646369
url__media,0.0054563377,0.0054563377
ancurl__2f_2fwww,0.005418182,0.005418182
ancurl__2fwww,0.005418182,0.005418182
ancurl__www_thejeep_com,0.00540444,0.00540444
ancurl__thejeep_com,0.00540444,0.00540444
ancurl__id,0.005377135,0.005377135
origurl__www_afn_org,0.005314487,0.005314487
origurl__afn_org,0.005314487,0.005314487
url__afn_org,0.005314487,0.005314487
url__www_afn_org,0.005314487,0.005314487
url__ad,0.0052634217,0.0052634217
ancurl__cat,0.005172208,0.005172208
url__heartland,0.0050693396,0.0050693396
alt__out,0.004991838,0.004991838
alt__all,0.0047009876,0.0047009876
origurl__kandinsky,0.0043748845,0.0043748845
origurl__cjackson,0.0043747975,0.0043747975
origurl__cjackson_kandinsky,0.0043747975,0.0043747975
url__cjackson,0.0043747975,0.0043747975
ancurl__athens,0.0043452336,0.0043452336
ancurl__adclick_exe,0.0042341095,0.0042341095
url__afn47757,0.0041940683,0.0041940683
origurl__afn47757,0.0041940683,0.0041940683
ancurl__heartland,0.0041893227,0.0041893227
origurl__metacrawler_com,0.004171456,0.004171456
origurl__midnite,0.0041548396,0.0041548396
origurl__afn47757_midnite,0.0041548396,0.0041548396
origurl__midnite_htm,0.0041548396,0.0041548396
alt__this,0.0040875645,0.0040875645
url__live,0.004080681,0.004080681
url__memberbanners,0.004080681,0.004080681
url__memberbanners_live,0.004080681,0.004080681
ancurl__pl,0.0040551866,0.0040551866
origurl__lycos_co_uk,0.00394507,0.00394507
origurl__www_lycos_co_uk,0.00394507,0.00394507
alt__new,0.0038997026,0.0038997026
origurl__www_metacrawler_com,0.0038964888,0.0038964888
origurl__sw,0.003839309,0.003839309
origurl__pages,0.003723993,0.003723993
alt__info,0.0037219531,0.0037219531
ancurl__general,0.003621764,0.003621764
ancurl__cat_general,0.003621764,0.003621764
ancurl__general_site,0.003621764,0.003621764
ancurl__marketing,0.0035980018,0.0035980018
url__marketing,0.0035895146,0.0035895146
ancurl__delv,0.003567877,0.003567877
ancurl__qual,0.003567877,0.003567877
ancurl__magic_adclick,0.003567877,0.003567877
ancurl__adclick_id,0.003567877,0.003567877
ancurl__delv_dir,0.003567877,0.003567877
ancurl__dir_qual,0.003567877,0.003567877
ancurl__mc,0.003567877,0.003567877
ancurl__qual_mc,0.003567877,0.003567877
ancurl__magic,0.003567877,0.003567877
ancurl__gid,0.003567877,0.003567877
ancurl__plug_go2net_com,0.003567877,0.003567877
ancurl__area,0.0035434484,0.0035434484
alt__netscape,0.0035148638,0.0035148638
origurl__txt,0.0034552594,0.0034552594
ancurl__sw,0.0034552594,0.0034552594
url__www_shareware_com,0.0034552594,0.0034552594
ancurl__www_shareware_com,0.0034552594,0.0034552594
url__shareware_com,0.0034552594,0.0034552594
ancurl__shareware_com,0.0034552594,0.0034552594
origurl__www_shareware_com,0.0034552594,0.0034552594
origurl__shareware_com,0.0034552594,0.0034552594
ancurl__site_sw,0.0034552594,0.0034552594
url__com,0.0034131627,0.0034131627
ancurl__go2net_com,0.003395573,0.003395573
url__go2net_com,0.003395573,0.003395573
url__go2net,0.003395573,0.003395573
url__go2net_ads,0.003395573,0.003395573
url__images_go2net_com,0.003395573,0.003395573
url__netscape_com,0.0033681549,0.0033681549
url__home_netscape_com,0.0033681549,0.0033681549
ancurl__www_microsoft_com,0.0033006344,0.0033006344
ancurl__microsoft_com,0.0033006344,0.0033006344
url__buttons,0.0032260965,0.0032260965
ancurl__bin_nph,0.0031831076,0.0031831076
ancurl__www_lycos_co_uk,0.003170339,0.003170339
ancurl__lycos_co_uk,0.003170339,0.003170339
origurl__cat,0.003094051,0.003094051
ancurl__direct,0.003075838,0.003075838
ancurl__tagvalues_13,0.002914994,0.002914994
ancurl__nsads_hotwired_com,0.002914994,0.002914994
ancurl__hotwired_com,0.002914994,0.002914994
url__thejeep_com,0.0028827118,0.0028827118
url__www_thejeep_com,0.0028827118,0.0028827118
origurl__thejeep_com,0.0028811404,0.0028811404
origurl__www_thejeep_com,0.0028811404,0.0028811404
alt__you,0.002831071,0.002831071
url__unc_edu,0.0028229102,0.0028229102
origurl__unc_edu,0.0028229102,0.0028229102
origurl__sunsite_unc_edu,0.0028229102,0.0028229102
url__sunsite_unc_edu,0.0028229102,0.0028229102
alt__logo,0.0028133779,0.0028133779
ancurl__nph,0.0027015712,0.0027015712
ancurl__gg,0.0026842689,0.0026842689
