feature,top_eigenvector_loading,abs_loading
x982,-0.024778144,0.024778144
x1096,0.024572741,0.024572741
x1355,0.024295462,0.024295462
x1201,0.024245612,0.024245612
x1075,0.024245612,0.024245612
x800,0.02395739,0.02395739
x990,0.023903908,0.023903908
x1427,0.023903908,0.023903908
x1376,0.023903908,0.023903908
x1224,0.022820344,0.022820344
x330,0.022704797,0.022704797
x489,-0.02265333,0.02265333
x635,-0.02265333,0.02265333
x684,-0.02265333,0.02265333
x742,-0.02265333,0.02265333
x583,-0.02265333,0.02265333
x746,-0.02265333,0.02265333
x525,-0.022626596,0.022626596
x1538,-0.022440003,0.022440003
x983,0.022312075,0.022312075
x1232,0.022236608,0.022236608
x1054,0.022236608,0.022236608
x1,-0.02195289,0.02195289
x1429,-0.021715056,0.021715056
x73,0.02167503,0.02167503
x553,0.02167503,0.02167503
x604,0.02167503,0.02167503
x153,0.02167503,0.02167503
x1205,0.021640059,0.021640059
x1050,-0.021558218,0.021558218
x389,0.021315187,0.021315187
x102,0.021315187,0.021315187
x1536,0.021250036,0.021250036
x14,0.021008939,0.021008939
x69,0.021008939,0.021008939
x304,0.021008939,0.021008939
x11,0.021008939,0.021008939
x113,0.020753492,0.020753492
x235,-0.020722313,0.020722313
x987,0.020648705,0.020648705
x269,0.020648034,0.020648034
x95,0.020648034,0.020648034
x369,0.020426022,0.020426022
x884,-0.020409688,0.020409688
x551,-0.02039149,0.02039149
x721,0.020186177,0.020186177
x1353,-0.02010823,0.02010823
x1469,0.020082833,0.020082833
x270,0.019918043,0.019918043
x312,0.019918043,0.019918043
x1348,0.019918043,0.019918043
x65,0.019918043,0.019918043
x224,0.019918043,0.019918043
x1169,0.019918043,0.019918043
x1296,0.019918043,0.019918043
x1270,0.019918043,0.019918043
x1057,0.019918043,0.019918043
x341,0.019918043,0.019918043
x694,0.019771328,0.019771328
x998,-0.019681305,0.019681305
x643,0.01949795,0.01949795
x386,0.019322034,0.019322034
x1428,0.019321367,0.019321367
x1535,0.01922725,0.01922725
x807,0.018666808,0.018666808
x1367,-0.018577097,0.018577097
x180,0.018535895,0.018535895
x241,-0.01851907,0.01851907
x347,-0.01851907,0.01851907
x134,0.018421564,0.018421564
x21,0.018421564,0.018421564
x86,0.018421564,0.018421564
x1539,-0.018314613,0.018314613
x1233,0.018208183,0.018208183
x145,-0.018071314,0.018071314
x685,0.017998159,0.017998159
x757,0.017998159,0.017998159
x39,-0.01779099,0.01779099
x809,-0.01766651,0.01766651
x985,-0.017464004,0.017464004
x958,-0.017464004,0.017464004
x1072,-0.017464004,0.017464004
x1291,-0.01733213,0.01733213
x340,-0.017239021,0.017239021
x661,0.01704456,0.01704456
x1203,0.017022448,0.017022448
x495,0.016990935,0.016990935
x587,0.016990935,0.016990935
x673,0.016990935,0.016990935
x743,0.016990935,0.016990935
x829,0.016990935,0.016990935
x906,-0.016839972,0.016839972
x636,-0.016839972,0.016839972
x947,0.016742518,0.016742518
x1382,0.016574392,0.016574392
x52,-0.016013755,0.016013755
x592,-0.016013755,0.016013755
x178,-0.016013755,0.016013755
x517,-0.016013755,0.016013755
x1250,0.015784277,0.015784277
x1191,-0.015625414,0.015625414
x265,-0.015524557,0.015524557
x366,-0.015507274,0.015507274
x1502,-0.015463593,0.015463593
x1430,-0.015282424,0.015282424
x925,0.014871047,0.014871047
x848,0.014147045,0.014147045
x477,0.014129763,0.014129763
x772,0.014129763,0.014129763
x720,0.014129763,0.014129763
x586,0.014129763,0.014129763
x813,0.014129763,0.014129763
x840,0.014129763,0.014129763
x930,0.014129763,0.014129763
x688,0.014129763,0.014129763
x576,0.014129763,0.014129763
x762,0.014129763,0.014129763
x237,0.013909639,0.013909639
x1043,-0.013868761,0.013868761
x1211,0.013784749,0.013784749
x1018,-0.013654521,0.013654521
x1015,-0.0136171095,0.0136171095
x1026,-0.0136171095,0.0136171095
x120,-0.013500354,0.013500354
x1139,-0.013478153,0.013478153
x1195,-0.0134636415,0.0134636415
x1544,-0.013340911,0.013340911
x1450,-0.0132957,0.0132957
x973,0.013203364,0.013203364
x1116,0.013203364,0.013203364
x1041,0.013203364,0.013203364
x1084,0.013203364,0.013203364
x1330,0.013203364,0.013203364
x533,0.013199837,0.013199837
x472,0.013199837,0.013199837
x870,0.013199837,0.013199837
x518,0.013199837,0.013199837
x729,0.013199837,0.013199837
x683,0.013199837,0.013199837
x955,0.013199837,0.013199837
x836,-0.012933397,0.012933397
x227,-0.012933397,0.012933397
x859,-0.012933397,0.012933397
x911,-0.012933397,0.012933397
x288,-0.012933397,0.012933397
x166,-0.012933397,0.012933397
x596,-0.012546402,0.012546402
x461,-0.012546402,0.012546402
x527,-0.012546402,0.012546402
x1481,-0.012530299,0.012530299
x1029,0.012444683,0.012444683
x1030,0.012444683,0.012444683
x624,0.012310171,0.012310171
x764,0.012310171,0.012310171
x647,0.012310171,0.012310171
x880,0.012310171,0.012310171
x1501,-0.01229969,0.01229969
x1495,0.012157288,0.012157288
x1487,0.012156336,0.012156336
x1228,-0.012070131,0.012070131
x963,0.012021162,0.012021162
x1219,0.012021162,0.012021162
x1411,0.012021162,0.012021162
x1392,0.012021162,0.012021162
x1519,-0.011957857,0.011957857
x20,0.011922361,0.011922361
x812,0.011901672,0.011901672
x432,0.011901672,0.011901672
x430,0.011901672,0.011901672
x1260,0.011901672,0.011901672
x427,0.011901672,0.011901672
x927,0.011901672,0.011901672
x703,0.011901672,0.011901672
x1164,0.011901672,0.011901672
x863,0.011901672,0.011901672
x1410,0.011901672,0.011901672
x528,0.011901672,0.011901672
x155,0.011901672,0.011901672
x1227,0.011901672,0.011901672
x189,0.011901672,0.011901672
x1393,0.011901672,0.011901672
x268,0.011901672,0.011901672
x267,0.011901672,0.011901672
x440,0.011901672,0.011901672
x1361,0.011901672,0.011901672
x1556,-0.01182492,0.01182492
x1413,0.011716192,0.011716192
x1470,0.011691796,0.011691796
x453,-0.01130882,0.01130882
x620,-0.01130882,0.01130882
x374,-0.01130882,0.01130882
x824,-0.01130882,0.01130882
x662,-0.011091565,0.011091565
x1465,-0.011091565,0.011091565
x726,-0.011091565,0.011091565
x325,-0.011091565,0.011091565
x221,-0.011091565,0.011091565
x1526,-0.011060651,0.011060651
x103,-0.011023752,0.011023752
x546,-0.011023752,0.011023752
x707,-0.011023752,0.011023752
x211,-0.011023752,0.011023752
x248,0.010920136,0.010920136
x1177,0.010920136,0.010920136
x1345,0.010920136,0.010920136
x825,0.010920136,0.010920136
x1200,0.010920136,0.010920136
x1129,0.010920136,0.010920136
x181,0.010920136,0.010920136
x704,0.010920136,0.010920136
x1267,-0.010642271,0.010642271
x622,0.010627459,0.010627459
x760,-0.010489056,0.010489056
x778,-0.010489056,0.010489056
x223,-0.010489056,0.010489056
x332,-0.010489056,0.010489056
x37,-0.010489056,0.010489056
x333,-0.010489056,0.010489056
x827,-0.010489056,0.010489056
x1372,-0.01043144,0.01043144
x1216,-0.01043144,0.01043144
x1168,-0.0102992095,0.0102992095
x1287,-0.0102992095,0.0102992095
x1404,0.010287356,0.010287356
x681,-0.010230451,0.010230451
x889,-0.010230451,0.010230451
x509,-0.010230451,0.010230451
x882,-0.010230451,0.010230451
x560,-0.010230451,0.010230451
x752,-0.010230451,0.010230451
x923,-0.010120458,0.010120458
x1489,0.0100715775,0.0100715775
x1350,-0.010040669,0.010040669
x1158,0.010002387,0.010002387
x1014,0.009683958,0.009683958
x1124,0.0095716175,0.0095716175
x1293,0.009471033,0.009471033
x1400,0.009430892,0.009430892
x1236,0.009430892,0.009430892
x173,0.009280128,0.009280128
x1533,-0.00915947,0.00915947
x897,-0.009103128,0.009103128
x912,-0.009103128,0.009103128
x839,-0.009103128,0.009103128
x1179,-0.008969791,0.008969791
x1251,-0.008854571,0.008854571
x1171,-0.008854571,0.008854571
x1113,-0.008854571,0.008854571
x765,0.008845519,0.008845519
x915,0.008845519,0.008845519
x1493,0.008830242,0.008830242
x1441,-0.008401816,0.008401816
x1239,-0.008338227,0.008338227
x1442,0.008234956,0.008234956
x1542,0.008205113,0.008205113
x950,-0.008150506,0.008150506
x1472,-0.00793969,0.00793969
x485,0.007933047,0.007933047
x616,0.007933047,0.007933047
x795,0.007933047,0.007933047
x678,0.007933047,0.007933047
x1359,0.007698752,0.007698752
x435,0.007571293,0.007571293
x1130,0.007549765,0.007549765
x1049,0.007549765,0.007549765
x1479,-0.007381068,0.007381068
x236,-0.0073485207,0.0073485207
x856,-0.0073485207,0.0073485207
x200,-0.0073485207,0.0073485207
x18,-0.0073485207,0.0073485207
x690,-0.0073485207,0.0073485207
x1446,-0.0073316256,0.0073316256
x715,-0.0072770203,0.0072770203
x680,-0.0072770203,0.0072770203
x789,-0.0072770203,0.0072770203
x921,-0.0072770203,0.0072770203
x538,-0.0072770203,0.0072770203
x550,-0.0072770203,0.0072770203
x928,-0.0072396495,0.0072396495
x942,0.007202582,0.007202582
x944,0.007202582,0.007202582
x744,0.007202582,0.007202582
x918,-0.0071635074,0.0071635074
x373,-0.0071635074,0.0071635074
x51,-0.0071635074,0.0071635074
x503,-0.0071635074,0.0071635074
x693,-0.0070969937,0.0070969937
x449,-0.0070969937,0.0070969937
x177,-0.0070969937,0.0070969937
x585,-0.0070969937,0.0070969937
x1482,-0.0070351474,0.0070351474
x446,-0.0069911894,0.0069911894
x668,-0.0069911894,0.0069911894
x603,-0.0069911894,0.0069911894
x480,-0.0069911894,0.0069911894
x597,-0.0069911894,0.0069911894
x154,-0.0069911894,0.0069911894
x900,-0.0069911894,0.0069911894
x66,-0.0069911894,0.0069911894
x1028,-0.0068781897,0.0068781897
x1099,-0.0068781897,0.0068781897
x1490,-0.0066994946,0.0066994946
x1507,-0.0065021534,0.0065021534
x1405,-0.006305299,0.006305299
x1078,-0.006305299,0.006305299
x1371,-0.006305299,0.006305299
x1011,-0.006305299,0.006305299
x1087,-0.006305299,0.006305299
x1364,-0.006305299,0.006305299
x727,-0.0062841442,0.0062841442
x28,-0.0062841442,0.0062841442
x639,-0.0062841442,0.0062841442
x1013,0.00610315,0.00610315
x1389,0.00610315,0.00610315
x1537,-0.0060352343,0.0060352343
x996,-0.005983719,0.005983719
x1272,-0.005983719,0.005983719
x1152,-0.005983719,0.005983719
x43,-0.00598023,0.00598023
x901,-0.00598023,0.00598023
x206,-0.00598023,0.00598023
x313,-0.00598023,0.00598023
x714,-0.00598023,0.00598023
x674,-0.00598023,0.00598023
x338,-0.005924449,0.005924449
x195,-0.005924449,0.005924449
x411,-0.0059244283,0.0059244283
x1148,-0.0058975248,0.0058975248
x450,-0.005892003,0.005892003
x1125,0.0057630045,0.0057630045
x1314,-0.005597447,0.005597447
x766,-0.005597447,0.005597447
x499,-0.005597447,0.005597447
x1388,-0.005597447,0.005597447
x245,-0.0055688866,0.0055688866
x384,-0.0055688866,0.0055688866
x797,-0.0055688866,0.0055688866
x771,-0.0055688866,0.0055688866
x1343,-0.0055688866,0.0055688866
x1197,-0.0055688866,0.0055688866
x202,-0.0055398024,0.0055398024
x689,-0.0055388883,0.0055388883
x655,0.0054751085,0.0054751085
x1059,0.005461975,0.005461975
x1547,-0.005416655,0.005416655
x1514,-0.0053919973,0.0053919973
x858,-0.0053387517,0.0053387517
x171,-0.0053387517,0.0053387517
x247,-0.0053387517,0.0053387517
x830,-0.0053387517,0.0053387517
x360,-0.0053144773,0.0053144773
x425,-0.0053144773,0.0053144773
x381,0.005287804,0.005287804
x1504,-0.0052862368,0.0052862368
x295,-0.0052059954,0.0052059954
x58,0.0051973825,0.0051973825
x1008,0.0051973825,0.0051973825
x1294,0.0051973825,0.0051973825
x1448,0.0051886966,0.0051886966
x367,0.00510324,0.00510324
x310,0.00510324,0.00510324
x1002,0.00510324,0.00510324
x1317,0.00510324,0.00510324
x470,0.00510324,0.00510324
x1324,0.00510324,0.00510324
x350,0.00510324,0.00510324
x49,0.00510324,0.00510324
x1100,0.00510324,0.00510324
x1110,0.00510324,0.00510324
x1073,0.00510324,0.00510324
x890,0.00510324,0.00510324
x1402,0.005088484,0.005088484
x139,0.0050356253,0.0050356253
x1264,0.0049868086,0.0049868086
x290,-0.0049519185,0.0049519185
x305,-0.004930682,0.004930682
x544,-0.0049306774,0.0049306774
x109,-0.0049306774,0.0049306774
x1066,-0.0049306774,0.0049306774
x712,-0.0049306774,0.0049306774
x1414,-0.0049306774,0.0049306774
x1259,-0.0049306774,0.0049306774
x786,-0.0049306774,0.0049306774
x1104,-0.0049306774,0.0049306774
x448,-0.0049306774,0.0049306774
x804,-0.0049306774,0.0049306774
x74,-0.0049264524,0.0049264524
x932,-0.0049264524,0.0049264524
x650,-0.00492594,0.00492594
x67,-0.00492594,0.00492594
x405,0.0049174284,0.0049174284
x1333,0.0049031684,0.0049031684
x1031,-0.0048997165,0.0048997165
x1019,-0.004899289,0.004899289
x992,0.004884019,0.004884019
x1503,-0.004883846,0.004883846
x1557,0.0048393146,0.0048393146
x1221,-0.0048355022,0.0048355022
x1322,-0.0048355022,0.0048355022
x1516,0.0048188674,0.0048188674
x456,-0.004816476,0.004816476
x191,-0.004810086,0.004810086
x479,-0.004810086,0.004810086
x240,-0.004810086,0.004810086
x719,-0.004810086,0.004810086
x1035,0.004743443,0.004743443
x399,-0.0047416943,0.0047416943
x337,-0.0047391187,0.0047391187
x1477,0.004739063,0.004739063
x1247,0.004637502,0.004637502
x638,0.0046207677,0.0046207677
x937,-0.004518642,0.004518642
x22,-0.004518642,0.004518642
x974,-0.004518642,0.004518642
x654,-0.004518642,0.004518642
x555,-0.004518642,0.004518642
x843,-0.004518642,0.004518642
x379,-0.0045044706,0.0045044706
x1237,-0.004486133,0.004486133
x1189,-0.004458703,0.004458703
x1303,-0.004458703,0.004458703
x1480,0.004456851,0.004456851
x1295,-0.0044472846,0.0044472846
x1396,0.0044271145,0.0044271145
x301,-0.004330254,0.004330254
x100,-0.0042702565,0.0042702565
x441,-0.004244973,0.004244973
x780,-0.004231241,0.004231241
x657,-0.004231241,0.004231241
x558,-0.004231241,0.004231241
x806,0.004224023,0.004224023
x846,0.004224023,0.004224023
x682,0.004224023,0.004224023
x818,0.004221891,0.004221891
x679,0.004221891,0.004221891
x506,0.004221891,0.004221891
x520,-0.0041698557,0.0041698557
x273,-0.0041180677,0.0041180677
x394,-0.0041180677,0.0041180677
x564,-0.004101022,0.004101022
x375,-0.0040935683,0.0040935683
x32,-0.0040118126,0.0040118126
x979,-0.004011597,0.004011597
x122,-0.003965251,0.003965251
x143,-0.003965251,0.003965251
x463,-0.003965251,0.003965251
x442,-0.003965251,0.003965251
x722,-0.003965251,0.003965251
x832,-0.003965251,0.003965251
x816,-0.003965251,0.003965251
x607,-0.003965251,0.003965251
x594,-0.003965251,0.003965251
x89,-0.003965251,0.003965251
x458,-0.003965251,0.003965251
x633,-0.003965251,0.003965251
x872,-0.003896376,0.003896376
x286,-0.003896376,0.003896376
x1522,-0.0038670439,0.0038670439
x1418,-0.0038564724,0.0038564724
x1329,-0.0038564724,0.0038564724
x1263,-0.0038315044,0.0038315044
x72,-0.0038298673,0.0038298673
x311,-0.0038298673,0.0038298673
x1199,-0.0038298673,0.0038298673
x1121,-0.0038298673,0.0038298673
x40,-0.0038298673,0.0038298673
x424,-0.0037985544,0.0037985544
x415,-0.003798095,0.003798095
x256,-0.0037980902,0.0037980902
x147,-0.0037980902,0.0037980902
x823,-0.0037889527,0.0037889527
x929,-0.0037889527,0.0037889527
x608,-0.0037889527,0.0037889527
x926,-0.0037889527,0.0037889527
x871,-0.0037889527,0.0037889527
x857,-0.0037889527,0.0037889527
x617,-0.0037883832,0.0037883832
x645,-0.0037883832,0.0037883832
x500,-0.0037883832,0.0037883832
x730,-0.0037813927,0.0037813927
x821,-0.0037813927,0.0037813927
x660,-0.0037813927,0.0037813927
x634,-0.0037813927,0.0037813927
x496,-0.0037813927,0.0037813927
x535,-0.0037813927,0.0037813927
x534,-0.0037813927,0.0037813927
x614,-0.0037813927,0.0037813927
x910,-0.0037813927,0.0037813927
x1342,0.0037082646,0.0037082646
x993,0.0037082646,0.0037082646
x357,0.003670208,0.003670208
x362,-0.0036546607,0.0036546607
x908,-0.0036545983,0.0036545983
x717,-0.0036545983,0.0036545983
x529,-0.0036545983,0.0036545983
x1082,-0.0036501386,0.0036501386
x981,-0.0036501386,0.0036501386
x1157,0.0036393367,0.0036393367
x1234,0.0036393367,0.0036393367
x572,0.0036393367,0.0036393367
x773,0.0036393367,0.0036393367
x1257,0.0036393367,0.0036393367
x293,0.0036393367,0.0036393367
x1042,0.0036393367,0.0036393367
x976,0.0036393367,0.0036393367
x1395,0.0036393367,0.0036393367
x1383,0.0036393367,0.0036393367
x1357,0.0036393367,0.0036393367
x59,0.0036393367,0.0036393367
x1017,0.0036393367,0.0036393367
x1220,0.0036393367,0.0036393367
x774,0.0036393367,0.0036393367
x783,0.0036393367,0.0036393367
x666,0.0036393367,0.0036393367
x1092,0.0036393367,0.0036393367
x1185,0.0036393367,0.0036393367
x1266,0.0036393367,0.0036393367
x320,-0.003633017,0.003633017
x640,-0.003633017,0.003633017
