model,accuracy,roc_auc,training_time_seconds,inference_time_per_sample_seconds
xrfm,0.8430686075793871,0.8936386944822385,455.0125194999855,3.044685215242086e-05
xgboost,0.8711381364781033,0.9258364922453755,0.38716130005195737,1.224881759628779e-06
random_forest,0.8626619986487316,0.9133453918775971,2.027993499999866,1.654553773958989e-05
