feature,top_eigenvector_loading,abs_loading
workingday,0.6975907,0.6975907
yr,-0.55738103,0.55738103
hr,-0.26553038,0.26553038
hum,0.23406787,0.23406787
weekday,-0.17099565,0.17099565
season,-0.16080336,0.16080336
atemp,-0.10062725,0.10062725
windspeed,0.090306595,0.090306595
holiday,-0.042089574,0.042089574
weathersit,0.041752998,0.041752998
mnth,-0.020366216,0.020366216
temp,-0.009562859,0.009562859
