feature,agop_diagonal,abs_agop_diagonal
workingday,1.0,1.0
hr,0.6338291,0.6338291
yr,0.58407676,0.58407676
temp,0.2778003,0.2778003
atemp,0.19843273,0.19843273
hum,0.16611695,0.16611695
windspeed,0.1069889,0.1069889
weekday,0.09542413,0.09542413
season,0.06469517,0.06469517
mnth,0.030001653,0.030001653
weathersit,0.018768469,0.018768469
holiday,0.008151961,0.008151961
